regiao,uf,municipio,cod_municipio,total_matriculas,matriculas_federal,matriculas_estadual,matriculas_municipal,matriculas_privada,ano,fonte,pct_publica,pct_privada
Norte,Rondônia,Alta Floresta D'Oeste,1100015,5060.0,0.0,2144.0,2213.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,86.1,0.0
Norte,Rondônia,Alto Alegre dos Parecis,1100379,2601.0,0.0,646.0,1119.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,67.9,0.0
Norte,Rondônia,Alto Paraíso,1100403,3250.0,0.0,1198.0,816.0,423.0,2022,INEP — Sinopse Estatística da Educação Básica,62.0,13.0
Norte,Rondônia,Alvorada D'Oeste,1100346,2996.0,0.0,1712.0,1071.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,92.9,0.0
Norte,Rondônia,Ariquemes,1100023,23000.0,0.0,8714.0,8325.0,3214.0,2022,INEP — Sinopse Estatística da Educação Básica,74.1,14.0
Norte,Rondônia,Buritis,1100452,7014.0,0.0,3918.0,2183.0,324.0,2022,INEP — Sinopse Estatística da Educação Básica,87.0,4.6
Norte,Rondônia,Cabixi,1100031,1260.0,0.0,538.0,595.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,89.9,0.0
Norte,Rondônia,Cacaulândia,1100601,1017.0,0.0,455.0,392.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,83.3,0.0
Norte,Rondônia,Cacoal,1100049,20219.0,558.0,8475.0,4677.0,4250.0,2022,INEP — Sinopse Estatística da Educação Básica,67.8,21.0
Norte,Rondônia,Campo Novo de Rondônia,1100700,2265.0,0.0,628.0,602.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,54.3,0.0
Norte,Rondônia,Candeias do Jamari,1100809,6114.0,0.0,2911.0,1962.0,25.0,2022,INEP — Sinopse Estatística da Educação Básica,79.7,0.4
Norte,Rondônia,Castanheiras,1100908,642.0,0.0,135.0,0.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,21.0,0.0
Norte,Rondônia,Cerejeiras,1100056,3566.0,0.0,1820.0,1567.0,156.0,2022,INEP — Sinopse Estatística da Educação Básica,95.0,4.4
Norte,Rondônia,Chupinguaia,1100924,2602.0,0.0,1041.0,841.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,72.3,0.0
Norte,Rondônia,Colorado do Oeste,1100064,3826.0,0.0,1429.0,1247.0,116.0,2022,INEP — Sinopse Estatística da Educação Básica,69.9,3.0
Norte,Rondônia,Corumbiara,1100072,1526.0,0.0,464.0,429.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,58.5,0.0
Norte,Rondônia,Costa Marques,1100080,3273.0,0.0,1054.0,1289.0,33.0,2022,INEP — Sinopse Estatística da Educação Básica,71.6,1.0
Norte,Rondônia,Cujubim,1100940,3989.0,0.0,1191.0,1954.0,114.0,2022,INEP — Sinopse Estatística da Educação Básica,78.8,2.9
Norte,Rondônia,Espigão D'Oeste,1100098,6705.0,0.0,3239.0,2259.0,345.0,2022,INEP — Sinopse Estatística da Educação Básica,82.0,5.1
Norte,Rondônia,Governador Jorge Teixeira,1101005,1751.0,0.0,701.0,798.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,85.6,0.0
Norte,Rondônia,Guajará-Mirim,1100106,11252.0,370.0,5174.0,3385.0,680.0,2022,INEP — Sinopse Estatística da Educação Básica,79.4,6.0
Norte,Rondônia,Itapuã do Oeste,1101104,2596.0,0.0,1319.0,1201.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,97.1,0.0
Norte,Rondônia,Jaru,1100114,11734.0,324.0,5371.0,4505.0,997.0,2022,INEP — Sinopse Estatística da Educação Básica,86.9,8.5
Norte,Rondônia,Ji-Paraná,1100122,28453.0,504.0,16487.0,6002.0,3690.0,2022,INEP — Sinopse Estatística da Educação Básica,80.8,13.0
Norte,Rondônia,Machadinho D'Oeste,1100130,8394.0,0.0,4151.0,2379.0,342.0,2022,INEP — Sinopse Estatística da Educação Básica,77.8,4.1
Norte,Rondônia,Ministro Andreazza,1101203,1533.0,0.0,473.0,842.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,85.8,0.0
Norte,Rondônia,Mirante da Serra,1101302,2528.0,0.0,1066.0,857.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,76.1,0.0
Norte,Rondônia,Monte Negro,1101401,2823.0,0.0,1188.0,887.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,73.5,0.0
Norte,Rondônia,Nova Brasilândia D'Oeste,1100148,3621.0,0.0,1335.0,1570.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,80.2,0.0
Norte,Rondônia,Nova Mamoré,1100338,6830.0,0.0,2914.0,2119.0,339.0,2022,INEP — Sinopse Estatística da Educação Básica,73.7,5.0
Norte,Rondônia,Nova União,1101435,1298.0,0.0,469.0,475.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,72.7,0.0
Norte,Rondônia,Novo Horizonte do Oeste,1100502,1853.0,0.0,936.0,740.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,90.4,0.0
Norte,Rondônia,Ouro Preto do Oeste,1100155,7657.0,0.0,3626.0,3349.0,357.0,2022,INEP — Sinopse Estatística da Educação Básica,91.1,4.7
Norte,Rondônia,Parecis,1101450,766.0,0.0,185.0,536.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,94.1,0.0
Norte,Rondônia,Pimenta Bueno,1100189,9193.0,0.0,4232.0,3631.0,204.0,2022,INEP — Sinopse Estatística da Educação Básica,85.5,2.2
Norte,Rondônia,Pimenteiras do Oeste,1101468,593.0,0.0,289.0,304.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,100.0,0.0
Norte,Rondônia,Porto Velho,1100205,125120.0,1811.0,54944.0,36291.0,20894.0,2022,INEP — Sinopse Estatística da Educação Básica,74.4,16.7
Norte,Rondônia,Presidente Médici,1100254,4083.0,0.0,2387.0,1357.0,32.0,2022,INEP — Sinopse Estatística da Educação Básica,91.7,0.8
Norte,Rondônia,Primavera de Rondônia,1101476,788.0,0.0,270.0,269.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,68.4,0.0
Norte,Rondônia,Rio Crespo,1100262,822.0,0.0,330.0,492.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,100.0,0.0
Norte,Rondônia,Rolim de Moura,1100288,11984.0,0.0,6073.0,4483.0,567.0,2022,INEP — Sinopse Estatística da Educação Básica,88.1,4.7
Norte,Rondônia,Santa Luzia D'Oeste,1100296,1444.0,0.0,600.0,844.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,100.0,0.0
Norte,Rondônia,São Felipe D'Oeste,1101484,1112.0,0.0,634.0,478.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,100.0,0.0
Norte,Rondônia,São Francisco do Guaporé,1101492,3952.0,0.0,1537.0,1392.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,74.1,0.0
Norte,Rondônia,São Miguel do Guaporé,1100320,4918.0,98.0,1850.0,1779.0,192.0,2022,INEP — Sinopse Estatística da Educação Básica,75.8,3.9
Norte,Rondônia,Seringueiras,1101500,2657.0,0.0,1435.0,683.0,103.0,2022,INEP — Sinopse Estatística da Educação Básica,79.7,3.9
Norte,Rondônia,Teixeirópolis,1101559,945.0,0.0,293.0,536.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,87.7,0.0
Norte,Rondônia,Theobroma,1101609,1778.0,0.0,665.0,200.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,48.7,0.0
Norte,Rondônia,Urupá,1101708,2323.0,0.0,653.0,1157.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,77.9,0.0
Norte,Rondônia,Vale do Anari,1101757,1724.0,0.0,634.0,1006.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,95.1,0.0
Norte,Rondônia,Vale do Paraíso,1101807,1454.0,0.0,468.0,697.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,80.1,0.0
Norte,Rondônia,Vilhena,1100304,22563.0,516.0,9491.0,9963.0,2095.0,2022,INEP — Sinopse Estatística da Educação Básica,88.5,9.3
Norte,Acre,Acrelândia,1200013,3942.0,0.0,1344.0,1477.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,71.6,0.0
Norte,Acre,Assis Brasil,1200054,3756.0,0.0,1019.0,806.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,48.6,0.0
Norte,Acre,Brasiléia,1200104,6822.0,0.0,2742.0,2255.0,54.0,2022,INEP — Sinopse Estatística da Educação Básica,73.2,0.8
Norte,Acre,Bujari,1200138,3859.0,0.0,1016.0,1059.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,53.8,0.0
Norte,Acre,Capixaba,1200179,3591.0,0.0,782.0,1406.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,60.9,0.0
Norte,Acre,Cruzeiro do Sul,1200203,30123.0,388.0,12517.0,6722.0,1157.0,2022,INEP — Sinopse Estatística da Educação Básica,65.2,3.8
Norte,Acre,Epitaciolândia,1200252,4558.0,0.0,1544.0,1964.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,77.0,0.0
Norte,Acre,Feijó,1200302,12852.0,0.0,4094.0,1841.0,37.0,2022,INEP — Sinopse Estatística da Educação Básica,46.2,0.3
Norte,Acre,Jordão,1200328,3798.0,0.0,711.0,782.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,39.3,0.0
Norte,Acre,Mâncio Lima,1200336,7058.0,0.0,1827.0,1913.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,53.0,0.0
Norte,Acre,Manoel Urbano,1200344,3702.0,0.0,982.0,1840.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,76.2,0.0
Norte,Acre,Marechal Thaumaturgo,1200351,6559.0,0.0,632.0,1826.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,37.5,0.0
Norte,Acre,Plácido de Castro,1200385,4699.0,0.0,1265.0,1151.0,50.0,2022,INEP — Sinopse Estatística da Educação Básica,51.4,1.1
Norte,Acre,Porto Acre,1200807,5706.0,0.0,439.0,410.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,14.9,0.0
Norte,Acre,Porto Walter,1200393,5024.0,0.0,861.0,1078.0,0.0,2022,INEP — Sinopse Estatística da Educação Básica,38.6,0.0
Norte,Acre,Rio Branco,1200401,99621.0,1687.0,59435.0,20820.0,11245.0,2022,INEP — Sinopse Estatística da Educação Básica,82.3,11.3
