regiao,uf,municipio,cod_municipio,total_matriculas,matriculas_federal,matriculas_estadual,matriculas_municipal,matriculas_privada,ano,fonte,pct_publica,pct_privada
Norte,Rondônia,, ,391467,4181,173892,128748,39492,2022,INEP — Sinopse Estatística da Educação Básica,78.4,10.1
Norte,Acre,, ,254695,2998,104815,60552,12704,2022,INEP — Sinopse Estatística da Educação Básica,66.1,5.0
Norte,Amazonas,, ,1148756,9414,384003,398404,88006,2022,INEP — Sinopse Estatística da Educação Básica,68.9,7.7
Norte,Roraima,, ,176301,1741,53753,61728,15430,2022,INEP — Sinopse Estatística da Educação Básica,66.5,8.8
Norte,Pará,, ,2250207,13872,478981,865522,233831,2022,INEP — Sinopse Estatística da Educação Básica,60.4,10.4
Norte,Amapá,, ,209101,2520,85108,60583,19936,2022,INEP — Sinopse Estatística da Educação Básica,70.9,9.5
Norte,Tocantins,, ,382227,3028,130111,169692,36051,2022,INEP — Sinopse Estatística da Educação Básica,79.2,9.4
Nordeste,Maranhão,, ,1947649,11671,254675,797783,211924,2022,INEP — Sinopse Estatística da Educação Básica,54.6,10.9
Nordeste,Piauí,, ,883834,11559,215469,364537,105646,2022,INEP — Sinopse Estatística da Educação Básica,66.9,12.0
Nordeste,Ceará,, ,2140122,11486,377383,994776,374194,2022,INEP — Sinopse Estatística da Educação Básica,64.7,17.5
Nordeste,Rio Grande do Norte,, ,802751,17957,199330,300352,169996,2022,INEP — Sinopse Estatística da Educação Básica,64.5,21.2
Nordeste,Paraíba,, ,967833,12065,209465,414308,181411,2022,INEP — Sinopse Estatística da Educação Básica,65.7,18.7
Nordeste,Pernambuco,, ,2159399,13626,506622,820082,480929,2022,INEP — Sinopse Estatística da Educação Básica,62.1,22.3
Nordeste,Alagoas,, ,884262,11380,165690,361762,130173,2022,INEP — Sinopse Estatística da Educação Básica,60.9,14.7
Nordeste,Sergipe,, ,537182,3364,149580,165969,111924,2022,INEP — Sinopse Estatística da Educação Básica,59.4,20.8
Nordeste,Bahia,, ,3444550,16928,670411,1437006,535934,2022,INEP — Sinopse Estatística da Educação Básica,61.7,15.6
Sudeste,Minas Gerais,, ,4310816,35395,1673496,1638114,742006,2022,INEP — Sinopse Estatística da Educação Básica,77.6,17.2
Sudeste,Espírito Santo,, ,873913,10737,217023,466618,110386,2022,INEP — Sinopse Estatística da Educação Básica,79.5,12.6
Sudeste,Rio de Janeiro,, ,3503285,38067,707431,1570065,1034068,2022,INEP — Sinopse Estatística da Educação Básica,66.1,29.5
